2014年03月14日周报---蓝长清,,,
日期,星期,记录,备注
2014-03-14,星期五,后台马甲功能增加,权限需要重新梳理次（预计后台修改时间需要加长2-3天）
2014-03-13,星期四,分享插件测试,分享内容字段模板需要运营定义
2014-03-12,星期三,地址列表管理,地址联动选择插件需要自写（暂未发现有APP模块的）需要2天
2014-03-11,星期二,用户晒单列表管理,未晒单和获得的商品列表功能同一个
2014-03-10,星期一,用户明细详情，用户获得的商品,
